[04:41:01] Deploy loop started
/usr/lib/python3/dist-packages/requests/__init__.py:109: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (5.1.0)/charset_normalizer (3.0.1) doesn't match a supported version!
  warnings.warn(
[04:43:03] Deploy loop starting...
[07:46:30] ✅ Deployed to dktrenchbot.pages.dev
[07:47:42] ✅ Deployed to dktrenchbot.pages.dev
[07:48:55] ✅ Deployed to dktrenchbot.pages.dev
[07:50:16] ✅ Deployed to dktrenchbot.pages.dev
[07:51:28] ✅ Deployed to dktrenchbot.pages.dev
[07:52:41] ✅ Deployed to dktrenchbot.pages.dev
[07:53:54] ✅ Deployed to dktrenchbot.pages.dev
[07:55:13] ✅ Deployed to dktrenchbot.pages.dev
[07:56:26] ✅ Deployed to dktrenchbot.pages.dev
[07:57:36] ✅ Deployed to dktrenchbot.pages.dev
[07:58:49] ✅ Deployed to dktrenchbot.pages.dev
[08:00:03] ✅ Deployed to dktrenchbot.pages.dev
[08:01:16] ✅ Deployed to dktrenchbot.pages.dev
[08:02:26] ✅ Deployed to dktrenchbot.pages.dev
[08:03:38] ✅ Deployed to dktrenchbot.pages.dev
[08:04:49] ✅ Deployed to dktrenchbot.pages.dev
[08:06:02] ✅ Deployed to dktrenchbot.pages.dev
[08:07:15] ✅ Deployed to dktrenchbot.pages.dev
[08:08:27] ✅ Deployed to dktrenchbot.pages.dev
[08:09:40] ✅ Deployed to dktrenchbot.pages.dev
[08:10:53] ✅ Deployed to dktrenchbot.pages.dev
[08:12:05] ✅ Deployed to dktrenchbot.pages.dev
[08:13:15] ✅ Deployed to dktrenchbot.pages.dev
[08:14:25] ✅ Deployed to dktrenchbot.pages.dev
[08:15:38] ✅ Deployed to dktrenchbot.pages.dev
[08:16:50] ✅ Deployed to dktrenchbot.pages.dev
[08:17:59] ✅ Deployed to dktrenchbot.pages.dev
[08:19:13] ✅ Deployed to dktrenchbot.pages.dev
[08:20:26] ✅ Deployed to dktrenchbot.pages.dev
[08:21:38] ✅ Deployed to dktrenchbot.pages.dev
[08:22:51] ✅ Deployed to dktrenchbot.pages.dev
[08:24:03] ✅ Deployed to dktrenchbot.pages.dev
[08:25:17] ✅ Deployed to dktrenchbot.pages.dev
[08:26:27] ✅ Deployed to dktrenchbot.pages.dev
[08:27:37] ✅ Deployed to dktrenchbot.pages.dev
[08:28:47] ✅ Deployed to dktrenchbot.pages.dev
[08:29:59] ✅ Deployed to dktrenchbot.pages.dev
[08:31:11] ✅ Deployed to dktrenchbot.pages.dev
[08:32:24] ✅ Deployed to dktrenchbot.pages.dev
[08:33:33] ✅ Deployed to dktrenchbot.pages.dev
[08:34:47] ✅ Deployed to dktrenchbot.pages.dev
[08:36:00] ✅ Deployed to dktrenchbot.pages.dev
[08:37:13] ✅ Deployed to dktrenchbot.pages.dev
[08:38:31] ✅ Deployed to dktrenchbot.pages.dev
[08:39:42] ✅ Deployed to dktrenchbot.pages.dev
[08:40:55] ✅ Deployed to dktrenchbot.pages.dev
[08:42:06] ✅ Deployed to dktrenchbot.pages.dev
[08:43:18] ✅ Deployed to dktrenchbot.pages.dev
[08:44:28] ✅ Deployed to dktrenchbot.pages.dev
[08:45:38] ✅ Deployed to dktrenchbot.pages.dev
[08:46:50] ✅ Deployed to dktrenchbot.pages.dev
[08:48:03] ✅ Deployed to dktrenchbot.pages.dev
[08:49:13] ✅ Deployed to dktrenchbot.pages.dev
[08:50:26] ✅ Deployed to dktrenchbot.pages.dev
[08:51:40] ✅ Deployed to dktrenchbot.pages.dev
[08:52:51] ✅ Deployed to dktrenchbot.pages.dev
[08:54:01] ✅ Deployed to dktrenchbot.pages.dev
[08:55:16] ✅ Deployed to dktrenchbot.pages.dev
[08:56:26] ✅ Deployed to dktrenchbot.pages.dev
[08:57:38] ✅ Deployed to dktrenchbot.pages.dev
[08:58:51] ✅ Deployed to dktrenchbot.pages.dev
[09:00:07] ✅ Deployed to dktrenchbot.pages.dev
[09:01:20] ✅ Deployed to dktrenchbot.pages.dev
[09:02:32] ✅ Deployed to dktrenchbot.pages.dev
[09:03:46] ✅ Deployed to dktrenchbot.pages.dev
[09:04:56] ✅ Deployed to dktrenchbot.pages.dev
[09:06:09] ✅ Deployed to dktrenchbot.pages.dev
[09:07:18] ✅ Deployed to dktrenchbot.pages.dev
[09:08:30] ✅ Deployed to dktrenchbot.pages.dev
[09:09:43] ✅ Deployed to dktrenchbot.pages.dev
[09:10:56] ✅ Deployed to dktrenchbot.pages.dev
[09:12:06] ✅ Deployed to dktrenchbot.pages.dev
[09:13:19] ✅ Deployed to dktrenchbot.pages.dev
[09:14:29] ✅ Deployed to dktrenchbot.pages.dev
[09:15:43] ✅ Deployed to dktrenchbot.pages.dev
[09:16:55] ✅ Deployed to dktrenchbot.pages.dev
[09:18:09] ✅ Deployed to dktrenchbot.pages.dev
[09:19:22] ✅ Deployed to dktrenchbot.pages.dev
[09:20:35] ✅ Deployed to dktrenchbot.pages.dev
[09:21:48] ✅ Deployed to dktrenchbot.pages.dev
Dashboard generator starting — writing to /home/agent/workspace/trading-bot-v2/dashboard/index.html
[04:41:02] Dashboard updated
[04:42:03] Dashboard updated
[04:43:03] Dashboard updated
[04:44:04] Dashboard updated
[04:45:05] Dashboard updated
[04:46:06] Dashboard updated
[04:47:06] Dashboard updated
[04:48:07] Dashboard updated
[04:49:08] Dashboard updated
[04:50:08] Dashboard updated
[04:51:09] Dashboard updated
[04:52:10] Dashboard updated
[04:53:10] Dashboard updated
[04:54:11] Dashboard updated
[04:55:12] Dashboard updated
[04:56:12] Dashboard updated
[04:57:13] Dashboard updated
[04:58:13] Dashboard updated
[04:59:14] Dashboard updated
[05:00:15] Dashboard updated
[05:01:15] Dashboard updated
[05:02:16] Dashboard updated
[05:03:17] Dashboard updated
[05:04:17] Dashboard updated
[05:05:18] Dashboard updated
[05:06:19] Dashboard updated
[05:07:20] Dashboard updated
[05:08:21] Dashboard updated
[05:09:21] Dashboard updated
[05:10:22] Dashboard updated
[05:11:23] Dashboard updated
[05:12:23] Dashboard updated
[05:13:24] Dashboard updated
[05:14:26] Dashboard updated
[05:15:26] Dashboard updated
[05:16:27] Dashboard updated
[05:17:28] Dashboard updated
[05:18:28] Dashboard updated
[05:19:29] Dashboard updated
[05:20:30] Dashboard updated
[05:21:30] Dashboard updated
[05:22:31] Dashboard updated
[05:23:32] Dashboard updated
[05:24:33] Dashboard updated
[05:25:34] Dashboard updated
[05:26:35] Dashboard updated
[05:27:35] Dashboard updated
[05:28:36] Dashboard updated
[05:29:37] Dashboard updated
[05:30:37] Dashboard updated
[05:31:38] Dashboard updated
[05:32:39] Dashboard updated
[05:33:39] Dashboard updated
[05:34:40] Dashboard updated
[05:35:41] Dashboard updated
[05:36:41] Dashboard updated
[05:37:42] Dashboard updated
[05:38:43] Dashboard updated
[05:39:44] Dashboard updated
[05:40:44] Dashboard updated
[05:41:45] Dashboard updated
[05:42:46] Dashboard updated
[05:43:46] Dashboard updated
[05:44:47] Dashboard updated
[05:45:48] Dashboard updated
[05:46:48] Dashboard updated
[05:47:49] Dashboard updated
[05:48:50] Dashboard updated
[05:49:50] Dashboard updated
[05:50:51] Dashboard updated
[05:51:52] Dashboard updated
[05:52:52] Dashboard updated
[05:53:53] Dashboard updated
[05:54:54] Dashboard updated
[05:55:54] Dashboard updated
[05:56:55] Dashboard updated
[05:57:56] Dashboard updated
[05:58:56] Dashboard updated
[05:59:57] Dashboard updated
[06:00:58] Dashboard updated
[06:01:59] Dashboard updated
[06:03:00] Dashboard updated
[06:04:00] Dashboard updated
[06:05:01] Dashboard updated
[06:06:02] Dashboard updated
[06:07:02] Dashboard updated
[06:08:03] Dashboard updated
[06:09:03] Dashboard updated
[06:10:04] Dashboard updated
[06:11:05] Dashboard updated
[06:12:06] Dashboard updated
[06:13:07] Dashboard updated
[06:14:07] Dashboard updated
[06:15:08] Dashboard updated
[06:16:09] Dashboard updated
[06:17:09] Dashboard updated
[06:18:10] Dashboard updated
[06:19:11] Dashboard updated
[06:20:11] Dashboard updated
[06:21:12] Dashboard updated
[06:22:13] Dashboard updated
[06:23:14] Dashboard updated
[06:24:14] Dashboard updated
[06:25:15] Dashboard updated
[06:26:16] Dashboard updated
[06:27:16] Dashboard updated
[06:28:17] Dashboard updated
[06:29:18] Dashboard updated
[06:30:19] Dashboard updated
[06:31:20] Dashboard updated
[06:32:20] Dashboard updated
[06:33:21] Dashboard updated
[06:34:22] Dashboard updated
[06:35:22] Dashboard updated
[06:36:23] Dashboard updated
[06:37:24] Dashboard updated
[06:38:24] Dashboard updated
[06:39:25] Dashboard updated
[06:40:26] Dashboard updated
[06:41:27] Dashboard updated
[06:42:27] Dashboard updated
[06:43:28] Dashboard updated
[06:44:29] Dashboard updated
[06:45:30] Dashboard updated
[06:46:31] Dashboard updated
[06:47:31] Dashboard updated
[06:48:32] Dashboard updated
[06:49:33] Dashboard updated
[06:50:33] Dashboard updated
[06:51:34] Dashboard updated
[06:52:35] Dashboard updated
[06:53:35] Dashboard updated
[06:54:36] Dashboard updated
[06:55:37] Dashboard updated
[06:56:37] Dashboard updated
[06:57:38] Dashboard updated
[06:58:39] Dashboard updated
[06:59:40] Dashboard updated
[07:00:40] Dashboard updated
[07:01:41] Dashboard updated
[07:02:42] Dashboard updated
[07:03:42] Dashboard updated
[07:04:43] Dashboard updated
[07:05:44] Dashboard updated
[07:06:45] Dashboard updated
[07:07:45] Dashboard updated
[07:08:46] Dashboard updated
[07:09:47] Dashboard updated
[07:10:47] Dashboard updated
[07:11:48] Dashboard updated
[07:12:49] Dashboard updated
[07:13:49] Dashboard updated
[07:14:50] Dashboard updated
[07:15:51] Dashboard updated
[07:16:51] Dashboard updated
[07:17:52] Dashboard updated
[07:18:53] Dashboard updated
[07:19:54] Dashboard updated
[07:20:54] Dashboard updated
[07:21:55] Dashboard updated
[07:22:56] Dashboard updated
[07:23:56] Dashboard updated
[07:24:57] Dashboard updated
[07:25:58] Dashboard updated
[07:26:58] Dashboard updated
[07:27:59] Dashboard updated
[07:29:00] Dashboard updated
[07:30:01] Dashboard updated
[07:31:02] Dashboard updated
[07:32:03] Dashboard updated
[07:33:03] Dashboard updated
[07:34:04] Dashboard updated
[07:35:05] Dashboard updated
[07:36:06] Dashboard updated
[07:37:06] Dashboard updated
[07:38:07] Dashboard updated
[07:39:07] Dashboard updated
[07:40:08] Dashboard updated
[07:41:09] Dashboard updated
[07:42:10] Dashboard updated
[07:43:11] Dashboard updated
[07:44:11] Dashboard updated
[07:45:12] Dashboard updated
[07:46:13] Dashboard updated
[07:47:13] Dashboard updated
[07:48:14] Dashboard updated
[07:49:15] Dashboard updated
[07:50:16] Dashboard updated
[07:51:16] Dashboard updated
[07:52:17] Dashboard updated
[07:53:18] Dashboard updated
[07:54:18] Dashboard updated
[07:55:19] Dashboard updated
[07:56:20] Dashboard updated
[07:57:20] Dashboard updated
[07:58:21] Dashboard updated
[07:59:22] Dashboard updated
[08:00:22] Dashboard updated
[08:01:23] Dashboard updated
[08:02:24] Dashboard updated
[08:03:24] Dashboard updated
[08:04:25] Dashboard updated
[08:05:26] Dashboard updated
[08:06:27] Dashboard updated
[08:07:27] Dashboard updated
[08:08:28] Dashboard updated
[08:09:29] Dashboard updated
[08:10:29] Dashboard updated
[08:11:30] Dashboard updated
[08:12:31] Dashboard updated
[08:13:32] Dashboard updated
[08:14:33] Dashboard updated
[08:15:33] Dashboard updated
[08:16:34] Dashboard updated
[08:17:35] Dashboard updated
[08:18:36] Dashboard updated
[08:19:37] Dashboard updated
[08:20:37] Dashboard updated
[08:21:38] Dashboard updated
[08:22:39] Dashboard updated
[08:23:39] Dashboard updated
[08:24:40] Dashboard updated
[08:25:41] Dashboard updated
[08:26:41] Dashboard updated
[08:27:42] Dashboard updated
[08:28:43] Dashboard updated
[08:29:43] Dashboard updated
[08:30:44] Dashboard updated
[08:31:45] Dashboard updated
[08:32:45] Dashboard updated
[08:33:46] Dashboard updated
[08:34:47] Dashboard updated
[08:35:47] Dashboard updated
[08:36:48] Dashboard updated
[08:37:49] Dashboard updated
[08:38:49] Dashboard updated
[08:39:50] Dashboard updated
[08:40:50] Dashboard updated
[08:41:51] Dashboard updated
[08:42:52] Dashboard updated
[08:43:53] Dashboard updated
[08:44:53] Dashboard updated
[08:45:54] Dashboard updated
[08:46:55] Dashboard updated
[08:47:55] Dashboard updated
[08:48:56] Dashboard updated
[08:49:57] Dashboard updated
[08:50:57] Dashboard updated
[08:51:58] Dashboard updated
[08:52:59] Dashboard updated
[08:53:59] Dashboard updated
[08:55:00] Dashboard updated
[08:56:01] Dashboard updated
[08:57:01] Dashboard updated
[08:58:02] Dashboard updated
[08:59:03] Dashboard updated
[09:00:04] Dashboard updated
[09:01:04] Dashboard updated
[09:02:05] Dashboard updated
[09:03:06] Dashboard updated
[09:04:06] Dashboard updated
[09:05:07] Dashboard updated
[09:06:08] Dashboard updated
[09:07:09] Dashboard updated
[09:08:10] Dashboard updated
[09:09:10] Dashboard updated
[09:10:11] Dashboard updated
[09:11:12] Dashboard updated
[09:12:12] Dashboard updated
[09:13:13] Dashboard updated
[09:14:14] Dashboard updated
[09:15:14] Dashboard updated
[09:16:15] Dashboard updated
[09:17:15] Dashboard updated
[09:18:16] Dashboard updated
[09:19:17] Dashboard updated
[09:20:18] Dashboard updated
[09:21:18] Dashboard updated
[09:22:19] Dashboard updated[09:22:58] ✅ Deployed to dktrenchbot.pages.dev
[09:24:11] ✅ Deployed to dktrenchbot.pages.dev
[09:25:24] ✅ Deployed to dktrenchbot.pages.dev
[09:26:36] ✅ Deployed to dktrenchbot.pages.dev
[09:27:47] ✅ Deployed to dktrenchbot.pages.dev
[09:28:57] ✅ Deployed to dktrenchbot.pages.dev
[09:30:17] ✅ Deployed to dktrenchbot.pages.dev
[09:31:26] ✅ Deployed to dktrenchbot.pages.dev
[09:32:38] ✅ Deployed to dktrenchbot.pages.dev
[09:33:51] ✅ Deployed to dktrenchbot.pages.dev
[09:35:03] ✅ Deployed to dktrenchbot.pages.dev
[09:36:16] ✅ Deployed to dktrenchbot.pages.dev
[09:37:29] ✅ Deployed to dktrenchbot.pages.dev
[09:38:42] ✅ Deployed to dktrenchbot.pages.dev
[09:39:53] ✅ Deployed to dktrenchbot.pages.dev
[09:41:06] ✅ Deployed to dktrenchbot.pages.dev
[09:42:19] ✅ Deployed to dktrenchbot.pages.dev
[09:43:31] ✅ Deployed to dktrenchbot.pages.dev
[09:44:44] ✅ Deployed to dktrenchbot.pages.dev
[09:45:56] ✅ Deployed to dktrenchbot.pages.dev
[09:47:06] ✅ Deployed to dktrenchbot.pages.dev
[09:48:18] ✅ Deployed to dktrenchbot.pages.dev
[09:49:27] ✅ Deployed to dktrenchbot.pages.dev
[09:50:40] ✅ Deployed to dktrenchbot.pages.dev
[09:51:52] ✅ Deployed to dktrenchbot.pages.dev
[09:53:05] ✅ Deployed to dktrenchbot.pages.dev
[09:54:17] ✅ Deployed to dktrenchbot.pages.dev
[09:55:30] ✅ Deployed to dktrenchbot.pages.dev
[09:56:42] ✅ Deployed to dktrenchbot.pages.dev
[09:57:54] ✅ Deployed to dktrenchbot.pages.dev
[09:59:07] ✅ Deployed to dktrenchbot.pages.dev
[10:00:22] ✅ Deployed to dktrenchbot.pages.dev
[10:01:32] ✅ Deployed to dktrenchbot.pages.dev
[10:02:45] ✅ Deployed to dktrenchbot.pages.dev
[10:03:55] ✅ Deployed to dktrenchbot.pages.dev
[10:05:15] ✅ Deployed to dktrenchbot.pages.dev
[10:06:27] ✅ Deployed to dktrenchbot.pages.dev
[10:07:39] ✅ Deployed to dktrenchbot.pages.dev
[10:08:52] ✅ Deployed to dktrenchbot.pages.dev
[10:10:12] ✅ Deployed to dktrenchbot.pages.dev
[10:11:27] ✅ Deployed to dktrenchbot.pages.dev
[10:12:39] ✅ Deployed to dktrenchbot.pages.dev
[10:13:51] ✅ Deployed to dktrenchbot.pages.dev
[10:15:12] ✅ Deployed to dktrenchbot.pages.dev
[10:16:24] ✅ Deployed to dktrenchbot.pages.dev
[10:17:37] ✅ Deployed to dktrenchbot.pages.dev
[10:18:50] ✅ Deployed to dktrenchbot.pages.dev
[10:20:04] ✅ Deployed to dktrenchbot.pages.dev
[10:21:15] ✅ Deployed to dktrenchbot.pages.dev
[10:22:27] ✅ Deployed to dktrenchbot.pages.dev
[10:23:37] ✅ Deployed to dktrenchbot.pages.dev
[10:24:50] ✅ Deployed to dktrenchbot.pages.dev
[10:26:03] ✅ Deployed to dktrenchbot.pages.dev
[10:27:15] ✅ Deployed to dktrenchbot.pages.dev
[10:28:25] ✅ Deployed to dktrenchbot.pages.dev
[10:29:37] ✅ Deployed to dktrenchbot.pages.dev
[10:30:51] ✅ Deployed to dktrenchbot.pages.dev
[10:32:04] ✅ Deployed to dktrenchbot.pages.dev
[10:33:17] ✅ Deployed to dktrenchbot.pages.dev
[10:34:30] ✅ Deployed to dktrenchbot.pages.dev
[10:35:43] ✅ Deployed to dktrenchbot.pages.dev
[10:36:55] ✅ Deployed to dktrenchbot.pages.dev
[10:38:08] ✅ Deployed to dktrenchbot.pages.dev
[10:39:21] ✅ Deployed to dktrenchbot.pages.dev
[10:40:33] ✅ Deployed to dktrenchbot.pages.dev
[10:41:45] ✅ Deployed to dktrenchbot.pages.dev
[10:42:55] ✅ Deployed to dktrenchbot.pages.dev
[10:44:08] ✅ Deployed to dktrenchbot.pages.dev
[10:45:18] ✅ Deployed to dktrenchbot.pages.dev
[10:46:30] ✅ Deployed to dktrenchbot.pages.dev
[10:47:42] ✅ Deployed to dktrenchbot.pages.dev
[10:48:52] ✅ Deployed to dktrenchbot.pages.dev
[10:50:04] ✅ Deployed to dktrenchbot.pages.dev
[10:51:16] ✅ Deployed to dktrenchbot.pages.dev
[10:52:29] ✅ Deployed to dktrenchbot.pages.dev
[10:53:42] ✅ Deployed to dktrenchbot.pages.dev
[10:54:53] ✅ Deployed to dktrenchbot.pages.dev
[10:56:03] ✅ Deployed to dktrenchbot.pages.dev
[10:57:13] ✅ Deployed to dktrenchbot.pages.dev
[10:58:26] ✅ Deployed to dktrenchbot.pages.dev
[10:59:39] ✅ Deployed to dktrenchbot.pages.dev
[11:00:52] ✅ Deployed to dktrenchbot.pages.dev
[11:02:03] ✅ Deployed to dktrenchbot.pages.dev
[11:03:14] ✅ Deployed to dktrenchbot.pages.dev
[11:04:27] ✅ Deployed to dktrenchbot.pages.dev
[11:05:39] ✅ Deployed to dktrenchbot.pages.dev
